state,killed,id,injured,KilledOrInjured,date
Michigan,1,26,3,4,23 April 2021
Michigan,4,26,0,4,24 April 2021
Nebraska,0,31,8,8,25 April 2021
California,2,6,3,5,26 April 2021
Massachusetts,0,25,4,4,27 April 2021
New Jersey,1,34,4,5,28 April 2021
Illinois,0,17,5,5,29 April 2021
Virginia,1,51,4,5,30 April 2021
Illinois,0,17,15,15,01 May 2021
Michigan,0,26,4,4,02 May 2021
Illinois,2,17,4,6,03 May 2021
Virginia,1,51,3,4,04 May 2021
Virginia,0,51,4,4,05 May 2021
Georgia,2,13,2,4,06 May 2021
California,0,6,7,7,07 May 2021
Colorado,2,8,3,5,08 May 2021
Florida,1,12,3,4,09 May 2021
Michigan,0,26,6,6,10 May 2021
North Carolina,0,37,4,4,11 May 2021
Texas,0,48,4,4,12 May 2021
Arkansas,0,5,4,4,13 May 2021
Colorado,1,8,3,4,14 May 2021
Kentucky,1,21,3,4,15 May 2021
Michigan,1,26,3,4,16 May 2021
Texas,0,48,4,4,17 May 2021
Illinois,1,17,4,5,18 May 2021
Washington,1,53,3,4,19 May 2021
Delaware,2,10,2,4,20 May 2021
Wisconsin,0,55,4,4,21 May 2021
Michigan,0,26,4,4,22 May 2021
Missouri,3,29,2,5,23 May 2021
Ohio,5,39,0,5,24 May 2021
Alabama,1,1,3,4,25 May 2021
Maryland,0,24,4,4,26 May 2021
Florida,0,12,5,5,27 May 2021
Florida,0,12,5,5,28 May 2021
Pennsylvania,1,42,3,4,29 May 2021
Georgia,0,13,5,5,30 May 2021
Illinois,1,17,3,4,31 May 2021
Illinois,4,17,4,8,01 June 2021
Louisiana,0,22,4,4,02 June 2021
Maryland,1,24,3,4,03 June 2021
Massachusetts,1,25,4,5,04 June 2021
Michigan,2,26,3,5,05 June 2021
Mississippi,1,27,3,4,06 June 2021
South Carolina,0,45,5,5,07 June 2021
Arkansas,1,5,3,4,08 June 2021
Georgia,2,13,13,15,09 June 2021
Illinois,0,17,4,4,10 June 2021
Illinois,1,17,5,6,11 June 2021
Illinois,1,17,5,6,12 June 2021
Iowa,1,19,3,4,13 June 2021
Maryland,0,24,4,4,14 June 2021
Michigan,2,26,4,6,15 June 2021
Mississippi,0,27,4,4,16 June 2021
Missouri,2,29,3,5,17 June 2021
New York,0,36,5,5,18 June 2021
